Cell	Plate Number	Classification	Percent_Mitochondrial	Clusters
X004_3	P3	engaging	18.7073908528601	2
X005_3	P3	engaging	10.5198704707217	0
X006_3	P3	engaging	17.4303150019562	0
X008_3	P3	engaging	13.5746844781703	3
X009_3	P3	engaging	15.7296764113653	0
X012_3	P3	engaging	24.9589393849779	2
X013_3	P3	engaging	20.9743853334398	0
X014_3	P3	engaging	24.9198537376148	0
X016_3	P3	engaging	18.7753012144583	2
X017_3	P3	engaging	24.2974158852403	2
X019_3	P3	engaging	20.2988848147919	0
X020_3	P3	engaging	6.35503753625661	0
X023_3	P3	engaging	19.876096000542	0
X025_3	P3	engaging	27.2085339640882	0
X026_3	P3	engaging	22.5946048361341	0
X027_3	P3	engaging	24.0229028961159	0
X029_3	P3	engaging	23.9725231204262	0
X030_3	P3	engaging	21.0444363460819	0
X033_3	P3	engaging	19.812697164557	2
